Sample Name,DB,DOHH2,FARAGE,HBL1,KARPAS422,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,RIVA,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,WSU_DLCL2
CDX2,-0.422043386,1.164666757,1.119141185,1.270009275,0.766598097,0.246297341,0.839207339,0.61946094,1.384283541,-1.021711421,1.443334712,0.268046081,1.593450704,0.671479959,1.31856763,-0.036039124,0.402702196,1.234877116,0.463110439,1.102949419,1.483715577
CEACAM3,0.555680219,1.754137621,1.180737256,1.671905149,1.088478231,0.8660861,1.642985678,1.025226287,1.922826136,0.409652343,0.524564521,0.890309458,2.267453176,0.507287923,1.41445457,0.361900885,0.627098135,1.501430632,0.949186537,1.806854641,1.851106665
CEACAM5,0.619349299,1.637632052,1.211895238,1.460066191,1.11480717,1.003862061,1.250232528,0.438406262,2.104625821,0.469650273,1.758754158,0.890309458,2.020564829,0.457600139,1.31083518,0.452981354,0.800642205,1.749215115,1.104088497,1.521092813,1.491833467
CEACAM7,1.115775709,1.687297263,1.718087941,1.634321107,1.522847505,0.940414843,1.421671774,0.802083067,2.205106696,0.409652343,1.839422716,0.954426958,2.225303974,0.018267445,1.623412829,0.592349806,0.543321137,1.782846035,1.162080444,1.967686459,1.822021692
CEBPA,0.532199123,0.970846731,0.398981881,1.009597131,0.867758987,0.689994841,0.414938391,0.438406262,1.569251201,0.019681264,0.616334894,0.93259852,1.199569552,0.2178398,1.125545207,-0.11522037,0.302587043,1.046028627,0.319688297,0.894673476,1.267969426
CEBPB,2.457482559,2.19300558,2.290519339,2.225825888,2.171880059,2.16275129,2.376359485,2.152099523,2.440446066,2.174741121,2.355568078,2.729658929,2.533180831,2.089535609,2.201393401,2.358558465,2.277763459,2.294181391,2.451139582,2.532932277,1.528447578
CEBPD,1.263698352,1.0799912,1.546658206,1.491858025,2.635444803,2.131847016,1.080050128,3.658261675,0.99396293,1.466839296,1.664258446,1.569076076,0.955267181,1.937781357,2.288147975,-0.001277018,1.19755914,1.622641496,0.796809552,1.7482781,1.218077556
CEBPE,0.925286629,1.018538721,1.411819106,1.397071706,1.24133965,0.910102929,1.323088177,0.915527516,1.638701136,-1.021711421,1.333529719,1.046197331,1.702821664,0.507287923,1.498051832,0.960326591,0.552464516,1.252788706,0.962281835,1.764807158,1.568999422
CECR6,0.997085921,1.30183995,0.779193123,1.452673766,0.323690942,0.698595012,0.625791757,1.692845987,0.621239709,0.823386619,1.223534525,0.51402851,0.861668197,0.999784039,1.237337821,0.897616855,0.172253275,1.005341538,0.389324225,0.744517951,1.361499699
CELSR2,1.109435531,1.495659976,1.450134404,1.456385707,1.095211614,1.298520874,1.477990137,1.591958316,1.740292467,1.376228588,1.485845993,1.603838183,1.895498976,1.05966013,1.308226797,1.354601646,1.154524508,1.248379587,2.345528241,1.828394318,1.661170399
CENPF,2.896541624,2.571060931,2.537758097,2.286988024,2.865156719,2.771702111,2.526578899,2.794893678,3.040135634,2.433590351,2.585928287,2.79302915,2.810378217,2.440693121,2.161470411,2.789711457,3.03271107,2.59829115,3.200477044,2.544756732,2.072251534
CENPN,0.407260386,1.004414078,0.984442611,1.175222956,1.168788982,0.64423735,0.72270177,0.692011608,1.352394397,0.791201936,1.52711171,0.854311805,1.214461108,1.137743286,0.991208696,0.40329357,0.825465788,0.403281547,0.921748288,1.227888155,0.662529694
CEP55,1.089839974,0.894756562,1.143274864,1.222038412,1.483695382,1.302778697,1.172239503,1.252470068,1.712320179,0.60153787,2.268166502,0.975210564,1.430908726,1.624827938,1.470135751,1.347177628,1.749745074,1.601545785,1.941135533,0.990245138,0.458409712
CES1,1.025114645,1.766726748,2.003747766,1.716761614,1.494485862,1.146360874,1.661067517,0.407372028,2.442299508,0.777629129,2.218653317,0.848916773,2.325768941,-0.060913801,1.573840135,0.441082131,0.649374529,2.103181186,0.389324225,2.007587694,1.965590689
