Sample Name,DB,DOHH2,FARAGE,GRANTA519,HAIR_M,HBL1,HC_1,JEKO1,JVM2,KARPAS1718,KARPAS422,MAVER1,MEC1,MINO,OCILY1,OCILY18,OCILY19,OCILY7,OCILY8,RCK8,REC1,RIVA,SP49,SP53,SSK41,SUDHL10,SUDHL16,SUDHL2,SUDHL4,SUDHL6,TMD8,TOLEDO,U2932,UPN1,VL51,WSU_DLCL2
IL1RAP,1.320288896,2.020272434,1.858374369,1.25503065,1.823709904,1.784287849,2.080897047,1.378918678,1.536749885,1.275828074,2.027373049,1.422576347,2.774797971,1.63400664,1.431933918,1.978345308,1.923441986,2.379258271,1.76645695,2.029714499,1.959132253,1.286270901,1.624297461,1.933039653,1.604117645,2.280011451,1.370449963,2.231757944,1.369079469,1.379079151,2.29755804,1.678946205,2.141702008,2.081628602,1.469034487,2.057200218
IL1RN,1.028975066,1.694683401,1.804669668,0.852420763,1.66938739,1.505273593,1.932354176,0.941860973,1.098780754,0.521043042,1.589794295,0.62669633,2.503635798,1.297128219,1.158342171,1.447607508,0.73188312,2.160830451,0.358499821,1.650141457,1.248518268,0.954426958,1.151811197,1.121545892,0.796003171,2.268100572,0.878605452,1.333631376,0.475844237,0.494472569,1.585533114,1.286340065,1.391390287,1.713845439,0.548726969,1.895367042
IL2,1.19074047,2.107170863,2.038468371,1.228701711,2.18260499,1.898898833,2.23571596,1.844326525,1.370782498,0.921457669,1.988161969,0.869734379,2.766697688,1.440360948,1.31940444,1.542245705,1.52131538,2.231298999,1.068193691,2.223789917,1.640756297,1.37719055,1.524113269,1.697852333,1.671523762,2.343527919,1.494180648,2.188833795,1.573199452,1.09393975,2.01188398,2.036417279,2.015753283,1.913025365,1.415188061,1.849344819
IL20,NaN,-1.078371292,0.328400807,0.159280302,-0.807733865,-0.069584115,0.265485345,-0.520537025,-0.488555981,0.056156243,-1.018731738,-0.238605096,1.391778176,NaN,0.167116095,NaN,-0.245840486,0.673627779,NaN,-1.006914396,0.724063134,0.326038028,NaN,NaN,0.251935127,0.66301111,NaN,0.088118709,NaN,0.286196627,0.132214774,NaN,0.881100669,0.111107392,NaN,0.060469703
IL20RA,0.833229119,1.696874968,1.205161855,0.616657499,1.111344227,1.209169486,1.772328481,0.116285073,0.833663314,0.391948345,1.440660749,0.159334913,2.251857011,1.110817795,0.731387526,0.834067699,0.657249501,2.010178474,0.804363382,1.446403944,1.142062937,0.731156621,0.98121741,1.000971961,-0.100247391,1.963171647,0.430447893,1.524281356,0.50802892,0.642075291,1.791179617,0.882239747,1.102949419,1.692317245,1.46749716,1.318747718
IL20RB,1.0052804,1.755413083,1.84923099,1.184586167,0.963118147,1.817711604,2.166193766,0.859674217,1.432262773,1.502019804,1.609657192,1.129371689,2.476063702,1.247990988,1.036347815,1.52257227,0.915527516,2.290961771,0.864779305,1.333529719,1.545993309,1.259694006,1.494987643,1.581668901,1.200782604,2.202338173,0.562335489,1.714459076,0.6090555,0.76885037,2.105034508,1.018658301,2.077833774,1.849491516,1.038437351,1.729088548
IL21,0.930139132,1.823087029,1.3074669,0.682159047,1.156053962,0.988407832,1.590282062,0.773193732,0.958602051,0.600224288,1.439150158,0.488393632,2.581867428,1.318798198,1.077384667,1.329744162,1.036706104,1.979565109,0.777629129,1.806666592,1.246151534,0.477305703,1.020369534,1.28607899,0.659420453,1.881021153,0.655089543,1.31342799,0.655631642,0.524435793,1.727710996,1.227473405,1.327272787,1.520829232,0.765436079,1.081659002
IL22,NaN,0.620598712,0.700011877,-0.062568448,NaN,0.164499091,1.005848034,-0.152560239,-0.011434726,0.468336691,-0.018731738,-0.238605096,1.789417531,0.286909054,0.715300706,0.188542014,-1.023991736,1.025810297,-0.544590166,-0.529793142,0.415064209,0.246856782,0.336122786,-0.317786802,-0.003337378,0.607493782,-1.060913801,0.53527674,-0.11522037,0.302587043,0.387487279,NaN,0.683820111,1.027561341,0.247696973,0.157379716
IL22RA1,0.788809979,1.636796066,1.11078911,0.414552807,1.031115226,1.375352456,1.401809477,0.80168227,0.782510792,0.968201073,1.010652039,0.606492944,2.430154915,1.129042615,0.739212863,1.162641444,0.754159514,1.799552428,0.631501093,1.432418298,1.182357531,1.535776387,1.263407582,1.194096559,1.120514263,1.99179831,1.035996212,1.446053556,0.74810249,0.790301371,1.412489548,0.549025068,1.339438694,1.251379683,0.765436079,1.481662171
IL22RA2,1.15774021,2.034568684,1.967770094,1.020615541,1.440239401,1.867790469,2.138369689,0.80168227,1.317623993,0.863465723,1.654289169,0.731431681,2.396263185,1.182173703,1.200539851,1.273400393,0.746860276,2.180009799,0.823386619,1.85282417,1.378152125,0.778335699,1.151811197,1.242518441,0.767514633,2.23425396,0.717237449,1.739396723,0.824298883,0.815705951,1.877289566,1.4422603,1.600274059,1.72322871,0.724818228,1.784745573
IL23A,1.089839974,2.274197094,2.12570909,1.393122166,2.243418657,1.598535445,1.901471457,2.315364831,2.304768673,1.321367271,1.635444803,1.873105375,2.367996426,1.665393476,1.272058204,1.868829805,0.739436257,2.018734059,1.326593442,1.916329622,1.609012895,2.15103115,1.382422806,1.415945309,1.607322785,2.265505178,2.075806766,1.734522435,1.716009324,1.366767616,1.532464865,1.852276524,1.675046187,1.738857184,2.163065766,1.796866205
IL23R,2.016894315,1.982326548,1.690128643,0.834447392,1.393663259,2.261119478,1.982010364,0.303371716,1.624272366,0.931217507,1.639279658,0.746671647,2.564752596,1.505019234,1.178545557,2.142021934,1.368705217,2.26872299,0.668484659,1.630575333,1.168391875,0.826640378,1.365844668,1.635650713,1.021968487,2.172213632,2.303449554,1.628448183,1.469110854,0.985166631,1.928326354,1.100975261,1.677256341,1.892413884,1.649705344,1.630136165
IL24,0.833229119,1.381021196,1.422234341,0.56297264,1.464107741,1.243680337,1.693822654,0.683582958,0.805174776,0.338702833,1.307604122,0.213692575,2.091648895,0.833921479,1.028451334,1.385459601,0.845239984,1.848400996,0.154379838,1.126624512,1.097643797,0.70925478,0.964511716,1.007865669,0.926081547,1.843136985,0.663362069,1.51462997,0.765593222,0.611585968,1.538186878,1.435081716,1.513123884,1.475189134,0.795399302,1.487793489
IL27,-0.546982123,1.015050393,0.42017118,0.187309026,1.126764586,0.917826757,1.185217003,0.718345064,1.148266117,0.18109498,0.260021862,0.488393632,1.586978535,0.006082444,0.313244131,0.414938391,0.481158242,0.754450972,0.057469825,1.014274903,0.809775247,0.569076076,0.499979589,-0.054545367,0.737025311,1.296479565,0.2178398,0.787088713,0.299752978,0.362584973,0.186572437,-0.087797029,1.277659772,0.268715246,-0.028509439,0.800832392
IL2RA,1.109435531,2.136207662,2.066901567,1.065974413,1.973303074,1.526226927,2.013188397,2.369138104,1.862982661,2.649072855,1.24843999,1.714832419,2.296929543,2.22260821,2.083043307,2.766154737,2.212545525,2.46089499,2.307889828,2.123419372,1.465143073,2.221368474,2.065827408,1.993613831,2.72485402,2.097260562,0.796418695,2.753230446,0.839022139,0.988494575,2.654137019,1.554557557,2.146592339,1.697272574,0.221368035,2.143703493
IL2RB,-0.024103378,1.392920419,2.536652419,1.538283492,2.87612334,2.061667824,2.807688127,0.433705485,2.954289466,0.639732829,0.813777174,1.008549519,2.899550035,1.30711244,0.888651928,1.119303428,0.814857355,1.671649213,0.393261927,1.824955378,1.104274376,0.307554622,2.206331547,1.550465674,1.41163597,1.8944807,-0.361943797,2.323899579,0.115228551,0.31838131,2.488623101,0.917001853,1.919979341,1.159840441,2.205050691,1.483715577
IL2RG,2.888331256,3.157813151,2.866441991,3.033646138,2.91727886,2.887886343,3.192084999,2.543671298,2.948136617,2.812602164,1.845779343,3.290910808,2.836352395,3.253207261,2.951685844,2.889291262,2.879315344,2.764094253,2.593396567,2.673964778,2.742082386,2.602882639,2.991861324,2.832252896,2.462342833,2.896768473,3.11566938,3.220890538,2.769744828,3.01198265,2.99478341,2.833889446,2.470216572,2.607344938,3.203413014,3.089904213
